States,2016 - DTV,2016 - FTV,2017 - DTV,2017 - FTV,2018 (Revised) - DTV,2018 (Revised) - FTV
Andhra Pradesh,153163354,341764,165433898,271362,194767874,281083
Bihar,28516127,1010531,32414063,1082705,33621613,1087971
Chhattisgarh,16534471,9220,17350030,6701,19329501,14399
Jharkhand,33389286,169442,33723185,170987,35408822,175801
Kerala,13172536,1038419,14673520,1091870,15604661,1096407
Madhya Pradesh,150490339,363195,78038522,359119,83969799,375476
Maharashtra*,116515801,4670049,119191539,5078514,119191539,5078514
Odisha,12842766,76361,14011229,100014,15208540,110818
Telengana,95160830,166570,85266596,251846,92878329,318154
Uttar Pradesh,213544204,3156812,233977619,3556204,285079848,3780752
West Bengal,74460250,1528700,79630345,1574915,85657365,1617105
