Sl. No.,State/ UT,2019 - Domestic,2019 - Foreign,2020 - Domestic,2020 - Foreign,2021 - Domestic,2021 - Foreign
1,Andaman and Nicobar Islands,505398,16206,191207,5412,126238,1687
2,Andhra Pradesh,237051508,280356,70828590,67591,93277569,27551
3,Arunachal Pradesh,555639,7825,42871,961,102915,182
4,Assam,5447805,26878,1266898,7285,1409161,536
5,Bihar,33990038,1093141,5638024,308080,2501193,1046
6,Chandigarh,1563795,44132,417953,12218,228809,5451
7,Chhattisgarh,17304506,6817,2810227,2322,4747417,8
8,Dadra and Nagar Haveli,618330,1666,104959,222,197802,80
9,Daman and Diu,897804,5703,297436,1382,463420,105
10,Delhi,36467598,2983436,9583671,681230,10642477,100178
11,Goa,7127287,937113,3258715,302751,3308089,22128
12,Gujarat,58864661,595607,19464517,210047,24525210,11319
13,Haryana,4549017,48046,2114731,17474,2025450,4578
14,Himachal Pradesh,16829231,382876,3170714,42665,5632270,4932
15,Jammu and Kashmir,16163330,57920,2519524,5317,11314920,1650
16,Jharkhand,35580768,176043,2574704,490,3383642,1637
17,Karnataka,227934714,608754,77453339,165325,81333659,72487
18,Kerala,18384233,1189771,4988972,340755,7537617,60487
19,Lakshadweep,6985,820,3462,413,13500,4
20,Madhya Pradesh,88707139,327958,23519632,99819,25554067,41601
21,Maharashtra,149294703,5528704,39234591,1262409,43569238,185643
22,Manipur,167560,13608,49669,3139,49371,648
23,Meghalaya,1245633,25813,24734,2311,154409,411
24,Mizoram,163762,2249,30890,265,87232,234
25,Nagaland,125949,5577,10979,518,23968,325
26,Odisha,15307637,115128,4622273,10206,3742221,2269
27,Puducherry,1713248,149919,1114942,92080,1253213,321
28,Punjab,47385387,1101343,16692197,359114,26640429,308135
29,Rajasthan,52220431,1605560,15117239,446457,21988734,34806
30,Sikkim,1421823,133388,316408,19935,511669,11508
31,Tamil Nadu,494865257,6866327,140651241,1228323,115336719,57622
32,Tripura,437201,154405,127815,31877,177816,5
33,Telangana,83035894,323326,39997001,46694,32000620,5917
34,Uttar Pradesh,535855162,4745181,86122293,890932,109708435,44737
35,Uttarakhand,37585920,152273,7005264,41339,19434475,8532
36,West Bengal,92366025,1656145,28841732,463285,24325984,34828
37,Ladakh,241285,38652,6743,1126,303023,1054
Total,Total,2321982663,31408666,610216157,7171769,677632981,1054642
